AGE,CI_LOWER,CI_UPPER,COUNT,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR,RATE == as.numeric(RATE)
60-64,43.6,45.8,6555,Incidence,14673662,All Races,44.7,Male and Female,Melanomas of the Skin,2007,TRUE
65-69,54.2,57.0,6101,Incidence,10970235,All Races,55.6,Male and Female,Melanomas of the Skin,2007,TRUE
70-74,63.4,66.8,5679,Incidence,8728492,All Races,65.1,Male and Female,Melanomas of the Skin,2007,TRUE
75-79,76.5,80.6,5813,Incidence,7400363,All Races,78.6,Male and Female,Melanomas of the Skin,2007,TRUE
80-84,79.8,84.5,4669,Incidence,5687076,All Races,82.1,Male and Female,Melanomas of the Skin,2007,TRUE
85+,74.1,79.0,3857,Incidence,5039545,All Races,76.5,Male and Female,Melanomas of the Skin,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Melanomas of the Skin,2007,NA
1-4,~,~,~,Incidence,15977965,All Races,NA,Male and Female,Mesothelioma,2007,NA
10-14,~,~,~,Incidence,20841042,All Races,NA,Male and Female,Mesothelioma,2007,NA
15-19,~,~,~,Incidence,22067816,All Races,NA,Male and Female,Mesothelioma,2007,NA
20-24,~,~,~,Incidence,21077999,All Races,NA,Male and Female,Mesothelioma,2007,NA
25-29,~,~,~,Incidence,20542698,All Races,NA,Male and Female,Mesothelioma,2007,NA
30-34,~,~,~,Incidence,19170765,All Races,NA,Male and Female,Mesothelioma,2007,NA
35-39,0.1,0.2,27,Incidence,20963891,All Races,0.1,Male and Female,Mesothelioma,2007,TRUE
40-44,0.1,0.2,32,Incidence,21832339,All Races,0.1,Male and Female,Mesothelioma,2007,TRUE
45-49,0.2,0.4,64,Incidence,22799761,All Races,0.3,Male and Female,Mesothelioma,2007,TRUE
5-9,~,~,~,Incidence,19714611,All Races,NA,Male and Female,Mesothelioma,2007,NA
50-54,0.4,0.7,115,Incidence,21140178,All Races,0.5,Male and Female,Mesothelioma,2007,TRUE
55-59,0.9,1.2,195,Incidence,18454772,All Races,1.1,Male and Female,Mesothelioma,2007,TRUE
60-64,2.0,2.4,321,Incidence,14673662,All Races,2.2,Male and Female,Mesothelioma,2007,TRUE
65-69,3.7,4.5,445,Incidence,10970235,All Races,4.1,Male and Female,Mesothelioma,2007,TRUE
70-74,5.1,6.1,491,Incidence,8728492,All Races,5.6,Male and Female,Mesothelioma,2007,TRUE
75-79,6.8,8.1,548,Incidence,7400363,All Races,7.4,Male and Female,Mesothelioma,2007,TRUE
80-84,8.8,10.5,547,Incidence,5687076,All Races,9.6,Male and Female,Mesothelioma,2007,TRUE
85+,6.8,8.3,380,Incidence,5039545,All Races,7.5,Male and Female,Mesothelioma,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Mesothelioma,2007,NA
1-4,~,~,~,Incidence,15977965,All Races,NA,Male and Female,Myeloma,2007,NA
10-14,~,~,~,Incidence,20841042,All Races,NA,Male and Female,Myeloma,2007,NA
15-19,~,~,~,Incidence,22067816,All Races,NA,Male and Female,Myeloma,2007,NA
20-24,~,~,~,Incidence,21077999,All Races,NA,Male and Female,Myeloma,2007,NA
25-29,0.1,0.2,20,Incidence,20542698,All Races,0.1,Male and Female,Myeloma,2007,TRUE
30-34,0.3,0.4,64,Incidence,19170765,All Races,0.3,Male and Female,Myeloma,2007,TRUE
35-39,0.6,0.9,159,Incidence,20963891,All Races,0.8,Male and Female,Myeloma,2007,TRUE
40-44,1.7,2.1,409,Incidence,21832339,All Races,1.9,Male and Female,Myeloma,2007,TRUE
45-49,3.3,3.8,815,Incidence,22799761,All Races,3.6,Male and Female,Myeloma,2007,TRUE
5-9,~,~,~,Incidence,19714611,All Races,NA,Male and Female,Myeloma,2007,NA
50-54,5.9,6.6,1318,Incidence,21140178,All Races,6.2,Male and Female,Myeloma,2007,TRUE
55-59,9.8,10.8,1902,Incidence,18454772,All Races,10.3,Male and Female,Myeloma,2007,TRUE
60-64,15.0,16.2,2287,Incidence,14673662,All Races,15.6,Male and Female,Myeloma,2007,TRUE
65-69,22.5,24.3,2569,Incidence,10970235,All Races,23.4,Male and Female,Myeloma,2007,TRUE
70-74,29.2,31.6,2653,Incidence,8728492,All Races,30.4,Male and Female,Myeloma,2007,TRUE
75-79,35.4,38.1,2719,Incidence,7400363,All Races,36.7,Male and Female,Myeloma,2007,TRUE
80-84,38.3,41.6,2269,Incidence,5687076,All Races,39.9,Male and Female,Myeloma,2007,TRUE
85+,32.7,35.9,1727,Incidence,5039545,All Races,34.3,Male and Female,Myeloma,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Myeloma,2007,NA
1-4,0.5,0.7,93,Incidence,15977965,All Races,0.6,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
10-14,1.2,1.5,279,Incidence,20841042,All Races,1.3,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
15-19,1.6,1.9,381,Incidence,22067816,All Races,1.7,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
20-24,2.1,2.6,494,Incidence,21077999,All Races,2.3,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
25-29,3.2,3.8,718,Incidence,20542698,All Races,3.5,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
30-34,4.5,5.2,927,Incidence,19170765,All Races,4.8,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
35-39,6.7,7.5,1486,Incidence,20963891,All Races,7.1,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
40-44,9.9,10.7,2252,Incidence,21832339,All Races,10.3,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
45-49,15.2,16.2,3571,Incidence,22799761,All Races,15.7,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
5-9,0.9,1.2,209,Incidence,19714611,All Races,1.1,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
50-54,21.9,23.2,4773,Incidence,21140178,All Races,22.6,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
55-59,31.5,33.1,5957,Incidence,18454772,All Races,32.3,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
60-64,44.0,46.2,6612,Incidence,14673662,All Races,45.1,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
65-69,64.8,67.8,7271,Incidence,10970235,All Races,66.3,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
70-74,80.8,84.6,7220,Incidence,8728492,All Races,82.7,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
75-79,101.3,106.0,7669,Incidence,7400363,All Races,103.6,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
80-84,114.8,120.4,6687,Incidence,5687076,All Races,117.6,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
85+,106.3,112.0,5499,Incidence,5039545,All Races,109.1,Male and Female,Non-Hodgkin Lymphoma,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Non-Hodgkin Lymphoma,2007,NA
1-4,~,~,~,Incidence,15977965,All Races,NA,Male and Female,Oral Cavity and Pharynx,2007,NA
10-14,0.2,0.3,47,Incidence,20841042,All Races,0.2,Male and Female,Oral Cavity and Pharynx,2007,TRUE
15-19,0.4,0.6,105,Incidence,22067816,All Races,0.5,Male and Female,Oral Cavity and Pharynx,2007,TRUE
20-24,0.5,0.8,134,Incidence,21077999,All Races,0.6,Male and Female,Oral Cavity and Pharynx,2007,TRUE
25-29,0.9,1.1,203,Incidence,20542698,All Races,1,Male and Female,Oral Cavity and Pharynx,2007,FALSE
30-34,1.6,1.9,333,Incidence,19170765,All Races,1.7,Male and Female,Oral Cavity and Pharynx,2007,TRUE
35-39,2.8,3.3,644,Incidence,20963891,All Races,3.1,Male and Female,Oral Cavity and Pharynx,2007,TRUE
40-44,5.9,6.6,1369,Incidence,21832339,All Races,6.3,Male and Female,Oral Cavity and Pharynx,2007,TRUE
45-49,12.5,13.5,2962,Incidence,22799761,All Races,13,Male and Female,Oral Cavity and Pharynx,2007,FALSE
5-9,0.1,0.2,22,Incidence,19714611,All Races,0.1,Male and Female,Oral Cavity and Pharynx,2007,TRUE
50-54,21.0,22.3,4574,Incidence,21140178,All Races,21.6,Male and Female,Oral Cavity and Pharynx,2007,TRUE
55-59,27.4,29.0,5206,Incidence,18454772,All Races,28.2,Male and Female,Oral Cavity and Pharynx,2007,TRUE
60-64,33.4,35.3,5037,Incidence,14673662,All Races,34.3,Male and Female,Oral Cavity and Pharynx,2007,TRUE
65-69,38.1,40.4,4306,Incidence,10970235,All Races,39.3,Male and Female,Oral Cavity and Pharynx,2007,TRUE
70-74,38.8,41.4,3500,Incidence,8728492,All Races,40.1,Male and Female,Oral Cavity and Pharynx,2007,TRUE
75-79,40.9,43.8,3133,Incidence,7400363,All Races,42.3,Male and Female,Oral Cavity and Pharynx,2007,TRUE
80-84,38.9,42.3,2307,Incidence,5687076,All Races,40.6,Male and Female,Oral Cavity and Pharynx,2007,TRUE
85+,38.1,41.6,2007,Incidence,5039545,All Races,39.8,Male and Female,Oral Cavity and Pharynx,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Oral Cavity and Pharynx,2007,NA
1-4,~,~,~,Incidence,7813088,All Races,NA,Male and Female,Ovary,2007,NA
10-14,0.6,0.9,72,Incidence,10170082,All Races,0.7,Male and Female,Ovary,2007,TRUE
15-19,1.0,1.4,130,Incidence,10731326,All Races,1.2,Male and Female,Ovary,2007,TRUE
20-24,1.5,2.0,182,Incidence,10270163,All Races,1.8,Male and Female,Ovary,2007,TRUE
25-29,1.9,2.5,222,Incidence,10229259,All Races,2.2,Male and Female,Ovary,2007,TRUE
30-34,2.8,3.5,297,Incidence,9559334,All Races,3.1,Male and Female,Ovary,2007,TRUE
35-39,4.9,5.8,561,Incidence,10502839,All Races,5.3,Male and Female,Ovary,2007,TRUE
40-44,8.5,9.6,992,Incidence,10999163,All Races,9,Male and Female,Ovary,2007,FALSE
45-49,14.3,15.7,1733,Incidence,11542213,All Races,15,Male and Female,Ovary,2007,FALSE
5-9,0.2,0.4,29,Incidence,9640683,All Races,0.3,Male and Female,Ovary,2007,TRUE
50-54,20.7,22.5,2328,Incidence,10795749,All Races,21.6,Male and Female,Ovary,2007,TRUE
55-59,25.5,27.6,2522,Incidence,9509473,All Races,26.5,Male and Female,Ovary,2007,TRUE
60-64,32.9,35.5,2610,Incidence,7639198,All Races,34.2,Male and Female,Ovary,2007,TRUE
65-69,38.5,41.8,2338,Incidence,5824805,All Races,40.1,Male and Female,Ovary,2007,TRUE
70-74,43.4,47.2,2159,Incidence,4770997,All Races,45.3,Male and Female,Ovary,2007,TRUE
75-79,46.5,50.7,2052,Incidence,4225224,All Races,48.6,Male and Female,Ovary,2007,TRUE
80-84,50.4,55.2,1830,Incidence,3469267,All Races,52.7,Male and Female,Ovary,2007,TRUE
85+,48.7,53.5,1758,Incidence,3446309,All Races,51,Male and Female,Ovary,2007,FALSE
<1,~,~,~,Incidence,2027181,All Races,NA,Male and Female,Ovary,2007,NA
1-4,~,~,~,Incidence,15977965,All Races,NA,Male and Female,Pancreas,2007,NA
10-14,~,~,~,Incidence,20841042,All Races,NA,Male and Female,Pancreas,2007,NA
15-19,~,~,~,Incidence,22067816,All Races,NA,Male and Female,Pancreas,2007,NA
20-24,0.1,0.2,24,Incidence,21077999,All Races,0.1,Male and Female,Pancreas,2007,TRUE
25-29,0.1,0.3,40,Incidence,20542698,All Races,0.2,Male and Female,Pancreas,2007,TRUE
30-34,0.4,0.6,101,Incidence,19170765,All Races,0.5,Male and Female,Pancreas,2007,TRUE
35-39,1.0,1.3,236,Incidence,20963891,All Races,1.1,Male and Female,Pancreas,2007,TRUE
40-44,2.7,3.2,638,Incidence,21832339,All Races,2.9,Male and Female,Pancreas,2007,TRUE
45-49,5.5,6.1,1313,Incidence,22799761,All Races,5.8,Male and Female,Pancreas,2007,TRUE
5-9,~,~,~,Incidence,19714611,All Races,NA,Male and Female,Pancreas,2007,NA
50-54,10.8,11.7,2369,Incidence,21140178,All Races,11.2,Male and Female,Pancreas,2007,TRUE
55-59,18.4,19.7,3519,Incidence,18454772,All Races,19.1,Male and Female,Pancreas,2007,TRUE
60-64,27.8,29.5,4199,Incidence,14673662,All Races,28.6,Male and Female,Pancreas,2007,TRUE
65-69,42.3,44.8,4774,Incidence,10970235,All Races,43.5,Male and Female,Pancreas,2007,TRUE
70-74,57.7,60.9,5173,Incidence,8728492,All Races,59.3,Male and Female,Pancreas,2007,TRUE
75-79,72.7,76.7,5525,Incidence,7400363,All Races,74.7,Male and Female,Pancreas,2007,TRUE
80-84,86.3,91.2,5048,Incidence,5687076,All Races,88.8,Male and Female,Pancreas,2007,TRUE
85+,93.5,99.0,4849,Incidence,5039545,All Races,96.2,Male and Female,Pancreas,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Pancreas,2007,NA
1-4,~,~,~,Incidence,8164877,All Races,NA,Male and Female,Prostate,2007,NA
10-14,~,~,~,Incidence,10670960,All Races,NA,Male and Female,Prostate,2007,NA
15-19,~,~,~,Incidence,11336490,All Races,NA,Male and Female,Prostate,2007,NA
20-24,~,~,~,Incidence,10807836,All Races,NA,Male and Female,Prostate,2007,NA
25-29,~,~,~,Incidence,10313439,All Races,NA,Male and Female,Prostate,2007,NA
30-34,~,~,~,Incidence,9611431,All Races,NA,Male and Female,Prostate,2007,NA
35-39,1.0,1.5,128,Incidence,10461052,All Races,1.2,Male and Female,Prostate,2007,TRUE
40-44,10.9,12.2,1252,Incidence,10833176,All Races,11.6,Male and Female,Prostate,2007,TRUE
45-49,46.5,49.1,5378,Incidence,11257548,All Races,47.8,Male and Female,Prostate,2007,TRUE
5-9,~,~,~,Incidence,10073928,All Races,NA,Male and Female,Prostate,2007,NA
50-54,159.0,163.9,16702,Incidence,10344429,All Races,161.5,Male and Female,Prostate,2007,TRUE
55-59,351.3,359.2,31776,Incidence,8945299,All Races,355.2,Male and Female,Prostate,2007,TRUE
60-64,602.0,613.5,42750,Incidence,7034464,All Races,607.7,Male and Female,Prostate,2007,TRUE
65-69,901.6,918.1,46816,Incidence,5145430,All Races,909.9,Male and Female,Prostate,2007,TRUE
70-74,971.2,990.7,38820,Incidence,3957495,All Races,980.9,Male and Female,Prostate,2007,TRUE
75-79,905.2,926.3,29074,Incidence,3175139,All Races,915.7,Male and Female,Prostate,2007,TRUE
80-84,718.3,740.8,16178,Incidence,2217809,All Races,729.5,Male and Female,Prostate,2007,TRUE
85+,615.7,640.4,10005,Incidence,1593236,All Races,628,Male and Female,Prostate,2007,FALSE
<1,~,~,~,Incidence,2120816,All Races,NA,Male and Female,Prostate,2007,NA
1-4,~,~,~,Incidence,15977965,All Races,NA,Male and Female,Stomach,2007,NA
10-14,~,~,~,Incidence,20841042,All Races,NA,Male and Female,Stomach,2007,NA
15-19,~,~,~,Incidence,22067816,All Races,NA,Male and Female,Stomach,2007,NA
20-24,0.1,0.3,42,Incidence,21077999,All Races,0.2,Male and Female,Stomach,2007,TRUE
25-29,0.4,0.6,110,Incidence,20542698,All Races,0.5,Male and Female,Stomach,2007,TRUE
30-34,0.8,1.1,184,Incidence,19170765,All Races,1,Male and Female,Stomach,2007,FALSE
35-39,1.5,1.8,345,Incidence,20963891,All Races,1.6,Male and Female,Stomach,2007,TRUE
40-44,2.4,2.9,579,Incidence,21832339,All Races,2.7,Male and Female,Stomach,2007,TRUE
45-49,4.4,4.9,1061,Incidence,22799761,All Races,4.7,Male and Female,Stomach,2007,TRUE
5-9,~,~,~,Incidence,19714611,All Races,NA,Male and Female,Stomach,2007,NA
50-54,6.7,7.4,1492,Incidence,21140178,All Races,7.1,Male and Female,Stomach,2007,TRUE
55-59,10.1,11.0,1945,Incidence,18454772,All Races,10.5,Male and Female,Stomach,2007,TRUE
60-64,15.0,16.3,2298,Incidence,14673662,All Races,15.7,Male and Female,Stomach,2007,TRUE
65-69,22.3,24.1,2539,Incidence,10970235,All Races,23.1,Male and Female,Stomach,2007,TRUE
70-74,30.1,32.4,2728,Incidence,8728492,All Races,31.3,Male and Female,Stomach,2007,TRUE
75-79,37.3,40.2,2866,Incidence,7400363,All Races,38.7,Male and Female,Stomach,2007,TRUE
80-84,44.1,47.7,2608,Incidence,5687076,All Races,45.9,Male and Female,Stomach,2007,TRUE
85+,48.7,52.6,2552,Incidence,5039545,All Races,50.6,Male and Female,Stomach,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Stomach,2007,NA
1-4,0.2,0.5,28,Incidence,8164877,All Races,0.3,Male and Female,Testis,2007,TRUE
10-14,0.2,0.4,33,Incidence,10670960,All Races,0.3,Male and Female,Testis,2007,TRUE
15-19,3.3,4.0,415,Incidence,11336490,All Races,3.7,Male and Female,Testis,2007,TRUE
20-24,9.2,10.4,1056,Incidence,10807836,All Races,9.8,Male and Female,Testis,2007,TRUE
25-29,13.3,14.8,1445,Incidence,10313439,All Races,14,Male and Female,Testis,2007,FALSE
30-34,12.4,13.8,1256,Incidence,9611431,All Races,13.1,Male and Female,Testis,2007,TRUE
35-39,10.9,12.2,1204,Incidence,10461052,All Races,11.5,Male and Female,Testis,2007,TRUE
40-44,7.6,8.7,883,Incidence,10833176,All Races,8.2,Male and Female,Testis,2007,TRUE
45-49,6.1,7.0,736,Incidence,11257548,All Races,6.5,Male and Female,Testis,2007,TRUE
5-9,~,~,~,Incidence,10073928,All Races,NA,Male and Female,Testis,2007,NA
50-54,4.0,4.9,458,Incidence,10344429,All Races,4.4,Male and Female,Testis,2007,TRUE
55-59,2.2,2.8,222,Incidence,8945299,All Races,2.5,Male and Female,Testis,2007,TRUE
60-64,1.4,2.1,122,Incidence,7034464,All Races,1.7,Male and Female,Testis,2007,TRUE
65-69,1.2,1.9,79,Incidence,5145430,All Races,1.5,Male and Female,Testis,2007,TRUE
70-74,0.6,1.2,33,Incidence,3957495,All Races,0.8,Male and Female,Testis,2007,TRUE
75-79,0.8,1.6,37,Incidence,3175139,All Races,1.2,Male and Female,Testis,2007,TRUE
80-84,0.6,1.5,22,Incidence,2217809,All Races,1,Male and Female,Testis,2007,FALSE
85+,0.8,1.9,20,Incidence,1593236,All Races,1.3,Male and Female,Testis,2007,TRUE
<1,0.6,1.5,21,Incidence,2120816,All Races,1,Male and Female,Testis,2007,FALSE
1-4,~,~,~,Incidence,15977965,All Races,NA,Male and Female,Thyroid,2007,NA
10-14,0.5,0.7,116,Incidence,20841042,All Races,0.6,Male and Female,Thyroid,2007,TRUE
15-19,2.1,2.5,497,Incidence,22067816,All Races,2.3,Male and Female,Thyroid,2007,TRUE
20-24,4.6,5.2,1025,Incidence,21077999,All Races,4.9,Male and Female,Thyroid,2007,TRUE
25-29,8.6,9.4,1844,Incidence,20542698,All Races,9,Male and Female,Thyroid,2007,FALSE
30-34,12.7,13.7,2529,Incidence,19170765,All Races,13.2,Male and Female,Thyroid,2007,TRUE
35-39,15.9,17.0,3446,Incidence,20963891,All Races,16.4,Male and Female,Thyroid,2007,TRUE
40-44,17.1,18.2,3854,Incidence,21832339,All Races,17.7,Male and Female,Thyroid,2007,TRUE
45-49,18.6,19.7,4371,Incidence,22799761,All Races,19.2,Male and Female,Thyroid,2007,TRUE
5-9,0.1,0.1,18,Incidence,19714611,All Races,0.1,Male and Female,Thyroid,2007,TRUE
50-54,20.0,21.2,4348,Incidence,21140178,All Races,20.6,Male and Female,Thyroid,2007,TRUE
55-59,20.7,22.0,3939,Incidence,18454772,All Races,21.3,Male and Female,Thyroid,2007,TRUE
60-64,20.0,21.5,3045,Incidence,14673662,All Races,20.8,Male and Female,Thyroid,2007,TRUE
65-69,22.9,24.7,2608,Incidence,10970235,All Races,23.8,Male and Female,Thyroid,2007,TRUE
70-74,22.1,24.2,2018,Incidence,8728492,All Races,23.1,Male and Female,Thyroid,2007,TRUE
75-79,18.7,20.8,1459,Incidence,7400363,All Races,19.7,Male and Female,Thyroid,2007,TRUE
80-84,14.5,16.5,879,Incidence,5687076,All Races,15.5,Male and Female,Thyroid,2007,TRUE
85+,9.6,11.5,530,Incidence,5039545,All Races,10.5,Male and Female,Thyroid,2007,TRUE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Thyroid,2007,NA
1-4,~,~,~,Incidence,15977965,All Races,NA,Male and Female,Urinary Bladder,2007,NA
10-14,~,~,~,Incidence,20841042,All Races,NA,Male and Female,Urinary Bladder,2007,NA
15-19,0.0,0.1,17,Incidence,22067816,All Races,0.1,Male and Female,Urinary Bladder,2007,TRUE
20-24,0.1,0.3,40,Incidence,21077999,All Races,0.2,Male and Female,Urinary Bladder,2007,TRUE
25-29,0.3,0.5,77,Incidence,20542698,All Races,0.4,Male and Female,Urinary Bladder,2007,TRUE
30-34,0.7,1.0,162,Incidence,19170765,All Races,0.8,Male and Female,Urinary Bladder,2007,TRUE
35-39,1.5,1.8,343,Incidence,20963891,All Races,1.6,Male and Female,Urinary Bladder,2007,TRUE
40-44,3.2,3.7,753,Incidence,21832339,All Races,3.4,Male and Female,Urinary Bladder,2007,TRUE
45-49,7.6,8.4,1825,Incidence,22799761,All Races,8,Male and Female,Urinary Bladder,2007,FALSE
5-9,~,~,~,Incidence,19714611,All Races,NA,Male and Female,Urinary Bladder,2007,NA
50-54,14.7,15.8,3221,Incidence,21140178,All Races,15.2,Male and Female,Urinary Bladder,2007,TRUE
55-59,26.9,28.4,5104,Incidence,18454772,All Races,27.7,Male and Female,Urinary Bladder,2007,TRUE
60-64,48.7,51.0,7317,Incidence,14673662,All Races,49.9,Male and Female,Urinary Bladder,2007,TRUE
65-69,79.9,83.3,8950,Incidence,10970235,All Races,81.6,Male and Female,Urinary Bladder,2007,TRUE
70-74,111.5,116.0,9929,Incidence,8728492,All Races,113.8,Male and Female,Urinary Bladder,2007,TRUE
75-79,149.9,155.6,11303,Incidence,7400363,All Races,152.7,Male and Female,Urinary Bladder,2007,TRUE
80-84,172.4,179.4,10002,Incidence,5687076,All Races,175.9,Male and Female,Urinary Bladder,2007,TRUE
85+,167.4,174.7,8618,Incidence,5039545,All Races,171,Male and Female,Urinary Bladder,2007,FALSE
<1,~,~,~,Incidence,4147997,All Races,NA,Male and Female,Urinary Bladder,2007,NA
1-4,22.0,23.5,3666,Incidence,16138392,All Races,22.7,Male and Female,All Cancer Sites Combined,2008,TRUE
10-14,12.9,13.9,2767,Incidence,20706655,All Races,13.4,Male and Female,All Cancer Sites Combined,2008,TRUE
15-19,21.5,22.7,4907,Incidence,22210880,All Races,22.1,Male and Female,All Cancer Sites Combined,2008,TRUE
20-24,35.6,37.2,7706,Incidence,21180612,All Races,36.4,Male and Female,All Cancer Sites Combined,2008,TRUE
25-29,58.0,60.1,12335,Incidence,20902668,All Races,59,Male and Female,All Cancer Sites Combined,2008,FALSE
30-34,91.9,94.6,18001,Incidence,19304805,All Races,93.2,Male and Female,All Cancer Sites Combined,2008,TRUE
35-39,140.2,143.4,29520,Incidence,20817463,All Races,141.8,Male and Female,All Cancer Sites Combined,2008,TRUE
40-44,227.1,231.1,48965,Incidence,21375023,All Races,229.1,Male and Female,All Cancer Sites Combined,2008,TRUE
45-49,374.6,379.7,86067,Incidence,22820973,All Races,377.1,Male and Female,All Cancer Sites Combined,2008,TRUE
5-9,12.3,13.3,2559,Incidence,19929602,All Races,12.8,Male and Female,All Cancer Sites Combined,2008,TRUE
50-54,593.5,600.0,129125,Incidence,21639474,All Races,596.7,Male and Female,All Cancer Sites Combined,2008,TRUE
55-59,881.2,889.7,166599,Incidence,18814568,All Races,885.5,Male and Female,All Cancer Sites Combined,2008,TRUE
60-64,1284.2,1295.6,197901,Incidence,15342495,All Races,1289.9,Male and Female,All Cancer Sites Combined,2008,TRUE
65-69,1802.3,1817.8,209867,Incidence,11594347,All Races,1810.1,Male and Female,All Cancer Sites Combined,2008,TRUE
70-74,2140.0,2159.3,191562,Incidence,8911332,All Races,2149.6,Male and Female,All Cancer Sites Combined,2008,TRUE
75-79,2407.8,2430.3,177693,Incidence,7345743,All Races,2419,Male and Female,All Cancer Sites Combined,2008,FALSE
80-84,2492.2,2518.2,143556,Incidence,5730359,All Races,2505.2,Male and Female,All Cancer Sites Combined,2008,TRUE
85+,2360.3,2386.9,123327,Incidence,5195840,All Races,2373.6,Male and Female,All Cancer Sites Combined,2008,TRUE
<1,25.4,28.6,1113,Incidence,4132735,All Races,26.9,Male and Female,All Cancer Sites Combined,2008,TRUE
1-4,4.4,5.1,760,Incidence,16138392,All Races,4.7,Male and Female,Brain and Other Nervous System,2008,TRUE
10-14,2.5,2.9,561,Incidence,20706655,All Races,2.7,Male and Female,Brain and Other Nervous System,2008,TRUE
15-19,2.1,2.6,520,Incidence,22210880,All Races,2.3,Male and Female,Brain and Other Nervous System,2008,TRUE
20-24,2.3,2.8,540,Incidence,21180612,All Races,2.5,Male and Female,Brain and Other Nervous System,2008,TRUE
25-29,2.9,3.4,659,Incidence,20902668,All Races,3.2,Male and Female,Brain and Other Nervous System,2008,TRUE
30-34,3.3,3.9,695,Incidence,19304805,All Races,3.6,Male and Female,Brain and Other Nervous System,2008,TRUE
35-39,3.6,4.2,814,Incidence,20817463,All Races,3.9,Male and Female,Brain and Other Nervous System,2008,TRUE
40-44,4.6,5.2,1036,Incidence,21375023,All Races,4.8,Male and Female,Brain and Other Nervous System,2008,TRUE
45-49,5.9,6.6,1431,Incidence,22820973,All Races,6.3,Male and Female,Brain and Other Nervous System,2008,TRUE
5-9,3.4,3.9,731,Incidence,19929602,All Races,3.7,Male and Female,Brain and Other Nervous System,2008,TRUE
50-54,7.8,8.6,1769,Incidence,21639474,All Races,8.2,Male and Female,Brain and Other Nervous System,2008,TRUE
55-59,10.3,11.3,2030,Incidence,18814568,All Races,10.8,Male and Female,Brain and Other Nervous System,2008,TRUE
60-64,13.2,14.4,2114,Incidence,15342495,All Races,13.8,Male and Female,Brain and Other Nervous System,2008,TRUE
65-69,16.2,17.7,1965,Incidence,11594347,All Races,16.9,Male and Female,Brain and Other Nervous System,2008,TRUE
70-74,19.7,21.6,1840,Incidence,8911332,All Races,20.6,Male and Female,Brain and Other Nervous System,2008,TRUE
75-79,21.3,23.5,1646,Incidence,7345743,All Races,22.4,Male and Female,Brain and Other Nervous System,2008,TRUE
80-84,22.2,24.7,1343,Incidence,5730359,All Races,23.4,Male and Female,Brain and Other Nervous System,2008,TRUE
85+,19.2,21.6,1059,Incidence,5195840,All Races,20.4,Male and Female,Brain and Other Nervous System,2008,TRUE
<1,3.5,4.8,171,Incidence,4132735,All Races,4.1,Male and Female,Brain and Other Nervous System,2008,TRUE
1-4,~,~,~,Incidence,7891294,All Races,NA,Male and Female,Cervix,2008,NA
10-14,~,~,~,Incidence,10108474,All Races,NA,Male and Female,Cervix,2008,NA
15-19,0.1,0.3,22,Incidence,10805148,All Races,0.2,Male and Female,Cervix,2008,TRUE
20-24,1.1,1.5,134,Incidence,10339566,All Races,1.3,Male and Female,Cervix,2008,TRUE
25-29,5.1,6.0,572,Incidence,10393532,All Races,5.5,Male and Female,Cervix,2008,TRUE
30-34,10.5,11.8,1071,Incidence,9625879,All Races,11.1,Male and Female,Cervix,2008,TRUE
35-39,13.6,15.0,1490,Incidence,10437809,All Races,14.3,Male and Female,Cervix,2008,TRUE
40-44,13.8,15.3,1563,Incidence,10757924,All Races,14.5,Male and Female,Cervix,2008,TRUE
45-49,13.9,15.3,1688,Incidence,11556983,All Races,14.6,Male and Female,Cervix,2008,TRUE
5-9,~,~,~,Incidence,9748488,All Races,NA,Male and Female,Cervix,2008,NA
50-54,12.4,13.8,1443,Incidence,11040553,All Races,13.1,Male and Female,Cervix,2008,TRUE
55-59,11.9,13.3,1224,Incidence,9702238,All Races,12.6,Male and Female,Cervix,2008,TRUE
